Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
RobotLearningBrain,0.081,3.023,4.246,130,nan
RobotLearningBrain,0.058,4.410,2.523,130,nan
RobotLearningBrain,0.058,5.865,2.650,130,nan
RobotLearningBrain,0.053,7.220,2.478,130,nan
RobotLearningBrain,0.051,8.571,2.477,130,nan
RobotLearningBrain,0.051,9.922,2.478,130,nan
RobotLearningBrain,0.051,11.254,2.456,130,nan
RobotLearningBrain,0.057,12.649,2.535,130,nan
RobotLearningBrain,0.053,14.074,2.597,130,nan
RobotLearningBrain,0.051,15.410,2.442,130,nan
RobotLearningBrain,0.050,16.766,2.471,130,nan
RobotLearningBrain,0.051,18.118,2.486,130,nan
RobotLearningBrain,0.051,19.444,2.412,130,nan
RobotLearningBrain,0.057,20.906,2.637,130,nan
RobotLearningBrain,0.053,22.262,2.467,130,nan
RobotLearningBrain,0.050,23.582,2.429,130,nan
RobotLearningBrain,0.051,24.912,2.436,130,nan
RobotLearningBrain,0.053,26.225,2.402,130,nan
RobotLearningBrain,0.051,27.537,2.405,130,nan
RobotLearningBrain,0.056,28.946,2.561,130,nan
RobotLearningBrain,0.051,30.367,2.613,130,nan
RobotLearningBrain,0.051,31.682,2.377,130,nan
RobotLearningBrain,0.049,33.022,2.470,130,nan
RobotLearningBrain,0.054,34.334,2.377,130,nan
RobotLearningBrain,0.051,35.649,2.410,130,nan
RobotLearningBrain,0.052,36.980,2.434,130,nan
RobotLearningBrain,0.055,38.306,2.420,130,nan
RobotLearningBrain,0.052,39.631,2.412,130,nan
RobotLearningBrain,0.050,40.955,2.417,130,nan
RobotLearningBrain,0.054,42.279,2.390,130,nan
RobotLearningBrain,0.051,43.607,2.403,130,nan
RobotLearningBrain,0.057,45.000,2.521,130,nan
RobotLearningBrain,0.053,46.440,2.619,130,nan
RobotLearningBrain,0.051,47.742,2.386,130,nan
RobotLearningBrain,0.050,49.060,2.401,130,nan
RobotLearningBrain,0.053,50.400,2.451,130,nan
RobotLearningBrain,0.056,51.724,2.411,130,nan
RobotLearningBrain,0.060,53.167,2.617,130,nan
RobotLearningBrain,0.055,54.574,2.545,130,nan
RobotLearningBrain,0.050,55.965,2.559,130,nan
RobotLearningBrain,0.051,57.302,2.456,130,nan
RobotLearningBrain,0.050,58.613,2.403,130,nan
RobotLearningBrain,0.052,59.927,2.401,130,nan
RobotLearningBrain,0.051,61.259,2.435,130,nan
RobotLearningBrain,0.050,62.615,2.478,130,nan
RobotLearningBrain,0.053,64.017,2.569,130,nan
RobotLearningBrain,0.053,65.462,2.672,130,nan
RobotLearningBrain,0.051,66.919,2.675,130,nan
RobotLearningBrain,0.050,68.412,2.724,130,nan
